item_kind,item_id,stratum,judge,judged_at,is_real_news_about_real_company,is_right_company,is_category_correct,precision_ok_for_source_floor,venture_band,baseline_fields_ok,resolution_verified,confidence_decile,registry_linkage_ok,fact_type_correct,amount_within_20pct_or_estimated,investors_real_and_attributed,date_within_14d,reject_reason_coherent,summary_fully_faithful,cluster_pure,cluster_split_missed,representative_best_tier,listgen_precision_at_limit,interpreted_filters_match_intent,notes
entity,ent_01M0KNAV2FT3R8WYFSAFHDCQXE,autocreate|d5,,,,,,,,,,,,,,,,,,,,,,,
entity,ent_01M0NF7MMBCX09GJK9V2QBAKV4,formd|d7,,,,,,,,,,,,,,,,,,,,,,,
entity,ent_01M0M2KW7260MHXJ6PA7S6WMM2,import:edgar|d9,,,,,,,,,,,,,,,,,,,,,,,
entity,ent_01M0KJG7Q55K8H0XMK5BQZBF5T,import:seed|d6,,,,,,,,,,,,,,,,,,,,,,,
entity,ent_01M0NEJCPW18MXYA5B0FM5N9TW,launch:hn|d5,,,,,,,,,,,,,,,,,,,,,,,
entity,ent_27JMDN0M10ZDQ10SQ8RM6FX3PM,launchmonitor|d6,,,,,,,,,,,,,,,,,,,,,,,
entity,ent_0CJMDN0M10ZXTE1RMZS2N6KJF7,launchmonitor|d7,,,,,,,,,,,,,,,,,,,,,,,
entity,ent_01M0NHDK8808EBN1C046Q7VJNS,xmonitor|d6,,,,,,,,,,,,,,,,,,,,,,,
entity,ent_01M0NEN1P15QXA2SYY1WVBYGG4,autocreate|d4,,,,,,,,,,,,,,,,,,,,,,,
entity,ent_01M0KX69YQK8D4NEJ3RPS37K3J,autocreate|d5,,,,,,,,,,,,,,,,,,,,,,,
entity,ent_01M0NF7MMFBF0XERFX3P9QMW0X,formd|d7,,,,,,,,,,,,,,,,,,,,,,,
entity,ent_01M0M2KW8BZ34EW76YTZ1R5HGZ,import:edgar|d9,,,,,,,,,,,,,,,,,,,,,,,
entity,ent_01M0KJG7QC3097N4PFQZH43HHV,import:seed|d6,,,,,,,,,,,,,,,,,,,,,,,
entity,ent_01M0NEJCQ6CXA6EDC5RX46C7HG,launch:hn|d5,,,,,,,,,,,,,,,,,,,,,,,
entity,ent_2DHMDN0M10XZNQT7P46D701B0B,launchmonitor|d6,,,,,,,,,,,,,,,,,,,,,,,
entity,ent_0EHMDN0M10A8Y91YF5CZFZDZR3,launchmonitor|d7,,,,,,,,,,,,,,,,,,,,,,,
entity,ent_01M0NHDK8JJ15VPKBYPQW3TEFN,xmonitor|d6,,,,,,,,,,,,,,,,,,,,,,,
entity,ent_01M0NEN50D4DDVNSYZRZ6F7A6V,autocreate|d4,,,,,,,,,,,,,,,,,,,,,,,
entity,ent_01M0KX7J4RPW765CSY63BEMX03,autocreate|d5,,,,,,,,,,,,,,,,,,,,,,,
entity,ent_01M0NF7MMK8KXVJSEZHPKQQT33,formd|d7,,,,,,,,,,,,,,,,,,,,,,,
entity,ent_01M0M2KW9VRNY1DFZSGH28T6AV,import:edgar|d9,,,,,,,,,,,,,,,,,,,,,,,
fact,fct_01M0KMW8M7KD4JB7F6TRAR93DH,type:acquisition,,,,,,,,,,,,,,,,,,,,,,,
fact,fct_01M0M3CYTHGVX3GX2R0PWS7DX9,type:funding_round,,,,,,,,,,,,,,,,,,,,,,,
fact,fct_01M0NEJCQKQZVCD3F4759Q8E0Z,type:product_launch,,,,,,,,,,,,,,,,,,,,,,,
fact,fct_01M0NF7MR5WQRR4T8D7KZ2XXWY,type:funding_round,,,,,,,,,,,,,,,,,,,,,,,
fact,fct_01M0NF7MXE463YZX94PK4KMNKF,type:funding_round,,,,,,,,,,,,,,,,,,,,,,,
fact,fct_01M0NF7N1MK125NX5W54A5K259,type:funding_round,,,,,,,,,,,,,,,,,,,,,,,
fact,fct_01M0NF7N5B99HR2VQV4H4WAP2C,type:funding_round,,,,,,,,,,,,,,,,,,,,,,,
fact,fct_01M0NF7NG1Q9DTB4GY48FAF268,type:funding_round,,,,,,,,,,,,,,,,,,,,,,,
fact,fct_01M0NF7NRRHWNXHHKGMS1ZAC27,type:funding_round,,,,,,,,,,,,,,,,,,,,,,,
fact,fct_01M0NF7P18N4ZT05WZYK9PFXB2,type:funding_round,,,,,,,,,,,,,,,,,,,,,,,
fact,fct_01M0NF7P91KR58XDP36H8VXX0D,type:funding_round,,,,,,,,,,,,,,,,,,,,,,,
fact,fct_01M0NF7PHRJ3FSAJGPC3J6YZ6P,type:funding_round,,,,,,,,,,,,,,,,,,,,,,,
fact,fct_01M0NF7Q0Q39RGQ52BMXRYTQAG,type:funding_round,,,,,,,,,,,,,,,,,,,,,,,
fact,fct_01M0NF7QAVK8QND30NCVQQXCJ9,type:funding_round,,,,,,,,,,,,,,,,,,,,,,,
fact,fct_01M0NF7QJV0TD8PY9W72HRX62M,type:funding_round,,,,,,,,,,,,,,,,,,,,,,,
fact,fct_01M0NF7QWQCD7TKXKXQ8ZRT6NP,type:funding_round,,,,,,,,,,,,,,,,,,,,,,,
fact,fct_01M0NF7RBCWG7WXP7W7Z39VGQ8,type:funding_round,,,,,,,,,,,,,,,,,,,,,,,
fact,fct_01M0NF7RMSRC7XVYGBWTATT2S8,type:funding_round,,,,,,,,,,,,,,,,,,,,,,,
fact,fct_01M0NF7RVVW341P7G2CEA5FSNZ,type:funding_round,,,,,,,,,,,,,,,,,,,,,,,
fact,fct_01M0NF7S442DR8ACN6YF8BAMQY,type:funding_round,,,,,,,,,,,,,,,,,,,,,,,
fact,fct_01M0NF7SDJK29Q3ZFHC3HJRES0,type:funding_round,,,,,,,,,,,,,,,,,,,,,,,
fact,fct_01M0NF7ST03W57T58QRZJ43NEV,type:funding_round,,,,,,,,,,,,,,,,,,,,,,,
fact,fct_01M0NF7TA0DTC6ZX3KG6BN4FG0,type:funding_round,,,,,,,,,,,,,,,,,,,,,,,
fact,fct_01M0NF7TXG2J8FE4A8PZMHX4BC,type:funding_round,,,,,,,,,,,,,,,,,,,,,,,
fact,fct_01M0NF7VF9CYJ0AKBYWWXSCKFA,type:funding_round,,,,,,,,,,,,,,,,,,,,,,,
fact,fct_01M0NF7W327CMNSA0Y1V7RXJBV,type:funding_round,,,,,,,,,,,,,,,,,,,,,,,
fact,fct_01M0NF7WPX8B7F1HJW6NGX9NHW,type:funding_round,,,,,,,,,,,,,,,,,,,,,,,
fact,fct_01M0NF7XCCJARCSSX5YNCWMC44,type:funding_round,,,,,,,,,,,,,,,,,,,,,,,
fact,fct_01M0NF7XZGY2RZP92VQ5NWAB3V,type:funding_round,,,,,,,,,,,,,,,,,,,,,,,
fact,fct_01M0NF7YAR96WHN0JTC32041EW,type:funding_round,,,,,,,,,,,,,,,,,,,,,,,
summary,art_01M0KKCCB9ZC9RG2GCPQGMKW2S,nw:medium,,,,,,,,,,,,,,,,,,,,,,,
summary,art_01M0KMV3JA2724JH6ZYR30S0YJ,nw:high,,,,,,,,,,,,,,,,,,,,,,,
summary,art_01M0KMVPYZB131T8EQV4X7Q6CB,nw:high,,,,,,,,,,,,,,,,,,,,,,,
summary,art_01M0KNRYG52HFRSVM5TX38CB6T,nw:high,,,,,,,,,,,,,,,,,,,,,,,
summary,art_01M0KWWFWVVRHT3PJT853PCWV5,nw:medium,,,,,,,,,,,,,,,,,,,,,,,
summary,art_01M0KX0GAK8WG83E2Z7SPM6X5C,nw:high,,,,,,,,,,,,,,,,,,,,,,,
summary,art_01M0M24W7KN37B1PHYWZ8MEY6E,nw:medium,,,,,,,,,,,,,,,,,,,,,,,
summary,art_01M0M29FWZ5JEKY958MX79JBX8,nw:medium,,,,,,,,,,,,,,,,,,,,,,,
summary,art_01M0M371G0EP17YKB0X7J7YJSB,nw:high,,,,,,,,,,,,,,,,,,,,,,,
summary,art_01M0M38X5AN6EZ04HQSY4EJTA3,nw:medium,,,,,,,,,,,,,,,,,,,,,,,
summary,art_01M0M3AKYV7QMCT2DVX1G54R0E,nw:medium,,,,,,,,,,,,,,,,,,,,,,,
summary,art_01M0M3M57QM8JVW17BJ2FNHMNG,nw:medium,,,,,,,,,,,,,,,,,,,,,,,
summary,art_01M0M3N72NM42XXAJCMPH97XQM,nw:high,,,,,,,,,,,,,,,,,,,,,,,
summary,art_01M0M3P500D6CBN3R125KX1V9E,nw:medium,,,,,,,,,,,,,,,,,,,,,,,
summary,art_01M0M3PV3HJ3YJH3RYSTGHGFB3,nw:medium,,,,,,,,,,,,,,,,,,,,,,,
summary,art_01M0M3QHX27YFPWACZ16DRVN36,nw:high,,,,,,,,,,,,,,,,,,,,,,,
summary,art_01M0M4H6CW0QEQHXZWG909ZV3X,nw:high,,,,,,,,,,,,,,,,,,,,,,,
summary,art_01M0M4HWQSCPY4RE85XJ7GMKE0,nw:high,,,,,,,,,,,,,,,,,,,,,,,
summary,art_01M0M4JE8888N0RMTSMF8FPC15,nw:medium,,,,,,,,,,,,,,,,,,,,,,,
